vuln_set_id,asset_cat,loss_cat,vuln_func_id,distr,imt,iml,mean_lr,stddev_lr
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.0,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.05,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.1,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.15,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.2,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.25,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.3,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.35,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.4,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.45,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.5,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.55,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.6,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.65,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.7,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.75,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.8,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.85,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.9,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,2.95,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.0,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.05,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.1,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.15,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.2,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.25,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.3,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.35,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.4,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.45,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.5,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.55,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.6,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.65,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.7,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.75,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.8,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.85,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.9,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,3.95,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.0,0.0,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.05,0.000335027129449,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.1,0.000670054258898,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.15,0.00100508138835,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.2,0.0013401085178,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.25,0.00167513564725,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.3,0.00201016277669,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.35,0.00234518990614,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.4,0.00268021703559,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.45,0.00301524416504,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.5,0.00335027129449,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.55,0.00368529842394,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.6,0.00402032555339,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.65,0.00435535268284,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.7,0.00469037981229,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.75,0.00502540694174,0.0
Modfied_Tariq_2016,buildings,economic loss,Timber_Pre1945,LN,MMI,4.8,0.00536043407119,0.0
