#Table 13.6: Indoor Casualty Rates by Model Building Type for Complete Structural Damage (No Collapse)
1,W1,5,1,0.01,0.01
1,W1MEAN,5,1,0.01,0.01
1,W1BVTILE,5,1,0.01,0.01
1,W1BVMETAL,5,1,0.01,0.01
1,W1TIMBERTILE,5,1,0.01,0.01
1,W1TIMBERMETAL,5,1,0.01,0.01
1,Timber_Pre1945,5,1,0.01,0.01
1,Timber_Post1945,5,1,0.01,0.01
2,W2,5,1,0.01,0.01
3,S1L,5,1,0.01,0.01
4,S1M,5,1,0.01,0.01
5,S1H,5,1,0.01,0.01
6,S2L,5,1,0.01,0.01
7,S2M,5,1,0.01,0.01
8,S2H,5,1,0.01,0.01
9,S3,5,1,0.01,0.01
10,S4L,5,1,0.01,0.01
11,S4M,5,1,0.01,0.01
12,S4H,5,1,0.01,0.01
13,S5L,5,1,0.01,0.01
14,S5M,5,1,0.01,0.01
15,S5H,5,1,0.01,0.01
16,C1L,5,1,0.01,0.01
16,C1LMEAN,5,1,0.01,0.01
16,C1LSOFT,5,1,0.01,0.01
16,C1LNOSOFT,5,1,0.01,0.01
17,C1M,5,1,0.01,0.01
17,C1MMEAN,5,1,0.01,0.01
17,C1MSOFT,5,1,0.01,0.01
17,C1MNOSOFT,5,1,0.01,0.01
18,C1H,5,1,0.01,0.01
18,C1HMEAN,5,1,0.01,0.01
18,C1HSOFT,5,1,0.01,0.01
18,C1HNOSOFT,5,1,0.01,0.01
19,C2L,5,1,0.01,0.01
20,C2M,5,1,0.01,0.01
21,C2H,5,1,0.01,0.01
22,C3L,5,1,0.01,0.01
23,C3M,5,1,0.01,0.01
24,C3H,5,1,0.01,0.01
25,PC1,5,1,0.01,0.01
26,PC2L,5,1,0.01,0.01
27,PC2M,5,1,0.01,0.01
28,PC2H,5,1,0.01,0.01
29,RM1L,5,1,0.01,0.01
30,RM1M,5,1,0.01,0.01
31,RM2L,5,1,0.01,0.01
32,RM2M,5,1,0.01,0.01
33,RM2H,5,1,0.01,0.01
34,URML,10,2,0.02,0.02
34,URMLMEAN,10,2,0.02,0.02
34,URMLTILE,10,2,0.02,0.02
34,URMLMETAL,10,2,0.02,0.02
34,URM_Pre1945,10,2,0.02,0.02
34,URM_Post1945,10,2,0.02,0.02
35,URMM,10,2,0.02,0.02
35,URMMMEAN,10,2,0.02,0.02
35,URMMTILE,10,2,0.02,0.02
35,URMMMETAL,10,2,0.02,0.02
36,MH,5,1,0.01,0.01
