# Table 13.8: Collapse Rates by Model Building Type for Complete Structural Damage
1,W1,3.0
1,W1MEAN,3.0
1,W1BVTILE,3.0
1,W1BVMETAL,3.0
1,W1TIMBERTILE,3.0
1,W1TIMBERMETAL,3.0
2,W2,3.0
3,S1L,8.0
4,S1M,5.0
5,S1H,3.0
6,S2L,8.0
7,S2M,5.0
8,S2H,3.0
9,S3,3.0
10,S4L,8.0
11,S4M,5.0
12,S4H,3.0
13,S5L,8.0
14,S5M,5.0
15,S5H,3.0
16,C1L,13.0
16,C1LMEAN,13.0
16,C1LSOFT,13.0
16,C1LNOSOFT,13.0
17,C1M,10.0
17,C1MMEAN,10.0
17,C1MSOFT,10.0
17,C1MNOSOFT,10.0
18,C1H,5.0
18,C1HMEAN,5.0
18,C1HSOFT,5.0
18,C1HNOSOFT,5.0
19,C2L,13.0
20,C2M,10.0
21,C2H,5.0
22,C3L,15.0
23,C3M,13.0
24,C3H,10.0
25,PC1,15.0
26,PC2L,15.0
27,PC2M,13.0
28,PC2H,10.0
29,RM1L,13.0
30,RM1M,10.0
31,RM2L,13.0
32,RM2M,10.0
33,RM2H,5.0
34,URML,15.0
34,URMLMEAN,15.0
34,URMLTILE,15.0
34,URMLMETAL,15.0
35,URMM,15.0
35,URMMMEAN,15.0
35,URMMTILE,15.0
35,URMMMETAL,15.0
36,MH,3.0
